iclabel,glyph,rank
A:uc0---:007684:的,的,1
A:uc0---:004eba:人,人,2
A:uc0---:004e00:一,一,3
A:uc0---:004e2d:中,中,4
A:uc0---:004e0a:上,上,5
A:uc0---:008981:要,要,6
A:uc0---:005927:大,大,7
A:uc0---:005728:在,在,8
A:uc0---:0051fa:出,出,9
A:uc0---:004ee5:以,以,10
A:uc0---:0081ea:自,自,11
A:uc0---:004ed6:他,他,12
A:uc0---:005e74:年,年,13
A:uc0---:0053ef:可,可,14
A:uc0---:00591a:多,多,15
A:uc0---:005bb6:家,家,16
A:uc0---:0080fd:能,能,17
A:uc0---:00751f:生,生,18
A:uc0---:00597d:好,好,19
A:uc0---:00672c:本,本,20
A:uc0---:005f97:得,得,21
A:uc0---:0065e5:日,日,22
A:uc0---:00524d:前,前,23
A:uc0---:005b50:子,子,24
A:uc0---:007528:用,用,25
A:uc0---:0065b9:方,方,26
A:uc0---:004e8b:事,事,27
A:uc0---:0077e5:知,知,28
A:uc0---:00884c:行,行,29
A:uc0---:00540c:同,同,30
A:uc0---:0060c5:情,情,31
A:uc0---:005fc3:心,心,32
A:uc0---:008005:者,者,33
A:uc0---:005730:地,地,34
A:uc0---:006cd5:法,法,35
A:uc0---:004f5c:作,作,36
A:uc0---:005206:分,分,37
A:uc0---:004e0b:下,下,38
A:uc0---:00610f:意,意,39
A:uc0---:006700:最,最,40
A:uc0---:006240:所,所,41
A:uc0---:006587:文,文,42
A:uc0---:004e09:三,三,43
A:uc0---:006211:我,我,44
A:uc0---:009ad8:高,高,45
A:uc0---:006708:月,月,46
A:uc0---:004e8c:二,二,47
A:uc0---:0065b0:新,新,48
A:uc0---:0056de:回,回,49
A:uc0---:00771f:真,真,50
A:uc0---:00624b:手,手,51
A:uc0---:005341:十,十,52
A:uc0---:007406:理,理,53
A:uc0---:00679c:果,果,54
A:uc0---:007b2c:第,第,55
A:uc0---:00529b:力,力,56
A:uc0---:005973:女,女,57
A:uc0---:009053:道,道,58
A:uc0---:004f55:何,何,59
A:uc0---:007136:然,然,60
A:uc0---:006b21:次,次,61
A:uc0---:00540d:名,名,62
A:uc0---:005b9a:定,定,63
A:uc0---:006559:教,教,64
A:uc0---:00660e:明,明,65
A:uc0---:006027:性,性,66
A:uc0---:007b49:等,等,67
A:uc0---:00611f:感,感,68
A:uc0---:0053bb:去,去,69
A:uc0---:004e86:了,了,70
A:uc0---:004f7f:使,使,71
A:uc0---:009762:面,面,72
A:uc0---:004e3b:主,主,73
A:uc0---:006210:成,成,74
A:uc0---:0052a0:加,加,75
A:uc0---:004e0d:不,不,76
A:uc0---:005e38:常,常,77
A:uc0---:006709:有,有,78
A:uc0---:0090fd:都,都,79
A:uc0---:006c11:民,民,80
A:uc0---:005165:入,入,81
A:uc0---:005408:合,合,82
A:uc0---:0063d0:提,提,83
A:uc0---:005916:外,外,84
A:uc0---:005c11:少,少,85
A:uc0---:005c0f:小,小,86
A:uc0---:0076f8:相,相,87
A:uc0---:0076ee:目,目,88
A:uc0---:0090e8:部,部,89
A:uc0---:008003:考,考,90
A:uc0---:005168:全,全,91
A:uc0---:005148:先,先,92
A:uc0---:0091cd:重,重,93
A:uc0---:004f4d:位,位,94
A:uc0---:004eca:今,今,95
A:uc0---:006c34:水,水,96
A:uc0---:0060f3:想,想,97
A:uc0---:005316:化,化,98
A:uc0---:00662f:是,是,99
A:uc0---:008d77:起,起,100
A:uc0---:006d3b:活,活,101
A:uc0---:007cfb:系,系,102
A:uc0---:00548c:和,和,103
A:uc0---:0056e0:因,因,104
A:uc0---:004ee3:代,代,105
A:uc0---:00516c:公,公,106
A:uc0---:0089e3:解,解,107
A:uc0---:005ea6:度,度,108
A:uc0---:005df1:己,己,109
A:uc0---:006821:校,校,110
A:uc0---:008eab:身,身,111
A:uc0---:008a00:言,言,112
A:uc0---:0056db:四,四,113
A:uc0---:004e16:世,世,114
A:uc0---:008868:表,表,115
A:uc0---:00793e:社,社,116
A:uc0---:007ba1:管,管,117
A:uc0---:007531:由,由,118
A:uc0---:00653f:政,政,119
A:uc0---:005e02:市,市,120
A:uc0---:00518d:再,再,121
A:uc0---:004fe1:信,信,122
A:uc0---:00901a:通,通,123
A:uc0---:0053d7:受,受,124
A:uc0---:0097f3:音,音,125
A:uc0---:00975e:非,非,126
A:uc0---:0079d1:科,科,127
A:uc0---:00671f:期,期,128
A:uc0---:005230:到,到,129
A:uc0---:00601d:思,思,130
A:uc0---:006b63:正,正,131
A:uc0---:007269:物,物,132
A:uc0---:007279:特,特,133
A:uc0---:006bd4:比,比,134
A:uc0---:005229:利,利,135
A:uc0---:0091d1:金,金,136
A:uc0---:007a0b:程,程,137
A:uc0---:005c31:就,就,138
A:uc0---:005de5:工,工,139
A:uc0---:004e94:五,五,140
A:uc0---:005404:各,各,141
A:uc0---:00544a:告,告,142
A:uc0---:0088ab:被,被,143
A:uc0---:0053ca:及,及,144
A:uc0---:0066f4:更,更,145
A:uc0---:007537:男,男,146
A:uc0---:0053f0:台,台,147
A:uc0---:007b11:笑,笑,148
A:uc0---:0053cb:友,友,149
A:uc0---:008fd1:近,近,150
A:uc0---:006301:持,持,151
A:uc0---:004ea4:交,交,152
A:uc0---:007f8e:美,美,153
A:uc0---:004ef6:件,件,154
A:uc0---:005fc5:必,必,155
A:uc0---:005143:元,元,156
A:uc0---:008def:路,路,157
A:uc0---:005bb9:容,容,158
A:uc0---:004efb:任,任,159
A:uc0---:00767d:白,白,160
A:uc0---:00539f:原,原,161
A:uc0---:005f71:影,影,162
A:uc0---:007acb:立,立,163
A:uc0---:007814:研,研,164
A:uc0---:00754c:界,界,165
A:uc0---:005929:天,天,166
A:uc0---:006d77:海,海,167
A:uc0---:006253:打,打,168
A:uc0---:005e73:平,平,169
A:uc0---:0054c1:品,品,170
A:uc0---:005b89:安,安,171
A:uc0---:005b8c:完,完,172
A:uc0---:00653e:放,放,173
A:uc0---:008d70:走,走,174
A:uc0---:0050cf:像,像,175
A:uc0---:005411:向,向,176
A:uc0---:005236:制,制,177
A:uc0---:0082f1:英,英,178
A:uc0---:005f0f:式,式,179
A:uc0---:008272:色,色,180
A:uc0---:0059cb:始,始,181
A:uc0---:005b57:字,字,182
A:uc0---:00795e:神,神,183
A:uc0---:007a76:究,究,184
A:uc0---:0063a5:接,接,185
A:uc0---:006c42:求,求,186
A:uc0---:005c71:山,山,187
A:uc0---:0053e3:口,口,188
A:uc0---:0053d6:取,取,189
A:uc0---:0076f4:直,直,190
A:uc0---:006307:指,指,191
A:uc0---:004fdd:保,保,192
A:uc0---:007248:版,版,193
A:uc0---:00683c:格,格,194
A:uc0---:005149:光,光,195
A:uc0---:0057fa:基,基,196
A:uc0---:00671b:望,望,197
A:uc0---:005317:北,北,198
A:uc0---:008c61:象,象,199
A:uc0---:005efa:建,建,200
A:uc0---:006b7b:死,死,201
A:uc0---:0053c8:又,又,202
A:uc0---:0053cd:反,反,203
A:uc0---:005f62:形,形,204
A:uc0---:006295:投,投,205
A:uc0---:004f4f:住,住,206
A:uc0---:00628a:把,把,207
A:uc0---:0082b1:花,花,208
A:uc0---:007b97:算,算,209
A:uc0---:006539:改,改,210
A:uc0---:007ae0:章,章,211
A:uc0---:0091cf:量,量,212
A:uc0---:0065e9:早,早,213
A:uc0---:0081f3:至,至,214
A:uc0---:0090a3:那,那,215
A:uc0---:0080b2:育,育,216
A:uc0---:00529f:功,功,217
A:uc0---:00770b:看,看,218
A:uc0---:007403:球,球,219
A:uc0---:009662:院,院,220
A:uc0---:00592a:太,太,221
A:uc0---:00767e:百,百,222
A:uc0---:008001:老,老,223
A:uc0---:00822c:般,般,224
A:uc0---:005546:商,商,225
