target_glyph,target_iclabel,source_glyph,source_iclabel
墫,A:uc0---:0058ab:墫,壿,A:uc0---:0058ff:壿
夐,A:uc0---:005910:夐,敻,A:uc0---:00657b:敻
卄,A:uc0---:005344:卄,艹,A:uc0---:008279:艹
言,A:uc0---:008a00:言,訁,A:uc0---:008a01:訁
𠦝,A:ucxb--:02099d:𠦝,龺,A:uc0---:009fba:龺
䜌,A:ucxa--:00470c:䜌,龻,A:uc0---:009fbb:龻
豈,A:uc0---:008c48:豈,豈,A:uccmp1:00f900:豈
更,A:uc0---:0066f4:更,更,A:uccmp1:00f901:更
車,A:uc0---:008eca:車,車,A:uccmp1:00f902:車
賈,A:uc0---:008cc8:賈,賈,A:uccmp1:00f903:賈
滑,A:uc0---:006ed1:滑,滑,A:uccmp1:00f904:滑
串,A:uc0---:004e32:串,串,A:uccmp1:00f905:串
句,A:uc0---:0053e5:句,句,A:uccmp1:00f906:句
龜,A:uc0---:009f9c:龜,龜,A:uccmp1:00f907:龜
龜,A:uc0---:009f9c:龜,龜,A:uccmp1:00f908:龜
契,A:uc0---:005951:契,契,A:uccmp1:00f909:契
金,A:uc0---:0091d1:金,金,A:uccmp1:00f90a:金
喇,A:uc0---:005587:喇,喇,A:uccmp1:00f90b:喇
奈,A:uc0---:005948:奈,奈,A:uccmp1:00f90c:奈
懶,A:uc0---:0061f6:懶,懶,A:uccmp1:00f90d:懶
癩,A:uc0---:007669:癩,癩,A:uccmp1:00f90e:癩
羅,A:uc0---:007f85:羅,羅,A:uccmp1:00f90f:羅
蘿,A:uc0---:00863f:蘿,蘿,A:uccmp1:00f910:蘿
螺,A:uc0---:0087ba:螺,螺,A:uccmp1:00f911:螺
裸,A:uc0---:0088f8:裸,裸,A:uccmp1:00f912:裸
邏,A:uc0---:00908f:邏,邏,A:uccmp1:00f913:邏
樂,A:uc0---:006a02:樂,樂,A:uccmp1:00f914:樂
洛,A:uc0---:006d1b:洛,洛,A:uccmp1:00f915:洛
烙,A:uc0---:0070d9:烙,烙,A:uccmp1:00f916:烙
珞,A:uc0---:0073de:珞,珞,A:uccmp1:00f917:珞
落,A:uc0---:00843d:落,落,A:uccmp1:00f918:落
酪,A:uc0---:00916a:酪,酪,A:uccmp1:00f919:酪
駱,A:uc0---:0099f1:駱,駱,A:uccmp1:00f91a:駱
亂,A:uc0---:004e82:亂,亂,A:uccmp1:00f91b:亂
卵,A:uc0---:005375:卵,卵,A:uccmp1:00f91c:卵
欄,A:uc0---:006b04:欄,欄,A:uccmp1:00f91d:欄
爛,A:uc0---:00721b:爛,爛,A:uccmp1:00f91e:爛
蘭,A:uc0---:00862d:蘭,蘭,A:uccmp1:00f91f:蘭
鸞,A:uc0---:009e1e:鸞,鸞,A:uccmp1:00f920:鸞
嵐,A:uc0---:005d50:嵐,嵐,A:uccmp1:00f921:嵐
濫,A:uc0---:006feb:濫,濫,A:uccmp1:00f922:濫
藍,A:uc0---:0085cd:藍,藍,A:uccmp1:00f923:藍
襤,A:uc0---:008964:襤,襤,A:uccmp1:00f924:襤
拉,A:uc0---:0062c9:拉,拉,A:uccmp1:00f925:拉
臘,A:uc0---:0081d8:臘,臘,A:uccmp1:00f926:臘
蠟,A:uc0---:00881f:蠟,蠟,A:uccmp1:00f927:蠟
廊,A:uc0---:005eca:廊,廊,A:uccmp1:00f928:廊
朗,A:uc0---:006717:朗,朗,A:uccmp1:00f929:朗
浪,A:uc0---:006d6a:浪,浪,A:uccmp1:00f92a:浪
狼,A:uc0---:0072fc:狼,狼,A:uccmp1:00f92b:狼
郎,A:uc0---:0090ce:郎,郎,A:uccmp1:00f92c:郎
來,A:uc0---:004f86:來,來,A:uccmp1:00f92d:來
冷,A:uc0---:0051b7:冷,冷,A:uccmp1:00f92e:冷
勞,A:uc0---:0052de:勞,勞,A:uccmp1:00f92f:勞
擄,A:uc0---:0064c4:擄,擄,A:uccmp1:00f930:擄
櫓,A:uc0---:006ad3:櫓,櫓,A:uccmp1:00f931:櫓
爐,A:uc0---:007210:爐,爐,A:uccmp1:00f932:爐
盧,A:uc0---:0076e7:盧,盧,A:uccmp1:00f933:盧
老,A:uc0---:008001:老,老,A:uccmp1:00f934:老
蘆,A:uc0---:008606:蘆,蘆,A:uccmp1:00f935:蘆
虜,A:uc0---:00865c:虜,虜,A:uccmp1:00f936:虜
路,A:uc0---:008def:路,路,A:uccmp1:00f937:路
露,A:uc0---:009732:露,露,A:uccmp1:00f938:露
魯,A:uc0---:009b6f:魯,魯,A:uccmp1:00f939:魯
鷺,A:uc0---:009dfa:鷺,鷺,A:uccmp1:00f93a:鷺
碌,A:uc0---:00788c:碌,碌,A:uccmp1:00f93b:碌
祿,A:uc0---:00797f:祿,祿,A:uccmp1:00f93c:祿
綠,A:uc0---:007da0:綠,綠,A:uccmp1:00f93d:綠
菉,A:uc0---:0083c9:菉,菉,A:uccmp1:00f93e:菉
錄,A:uc0---:009304:錄,錄,A:uccmp1:00f93f:錄
鹿,A:uc0---:009e7f:鹿,鹿,A:uccmp1:00f940:鹿
論,A:uc0---:008ad6:論,論,A:uccmp1:00f941:論
壟,A:uc0---:0058df:壟,壟,A:uccmp1:00f942:壟
弄,A:uc0---:005f04:弄,弄,A:uccmp1:00f943:弄
籠,A:uc0---:007c60:籠,籠,A:uccmp1:00f944:籠
聾,A:uc0---:00807e:聾,聾,A:uccmp1:00f945:聾
牢,A:uc0---:007262:牢,牢,A:uccmp1:00f946:牢
磊,A:uc0---:0078ca:磊,磊,A:uccmp1:00f947:磊
賂,A:uc0---:008cc2:賂,賂,A:uccmp1:00f948:賂
雷,A:uc0---:0096f7:雷,雷,A:uccmp1:00f949:雷
壘,A:uc0---:0058d8:壘,壘,A:uccmp1:00f94a:壘
屢,A:uc0---:005c62:屢,屢,A:uccmp1:00f94b:屢
樓,A:uc0---:006a13:樓,樓,A:uccmp1:00f94c:樓
淚,A:uc0---:006dda:淚,淚,A:uccmp1:00f94d:淚
漏,A:uc0---:006f0f:漏,漏,A:uccmp1:00f94e:漏
累,A:uc0---:007d2f:累,累,A:uccmp1:00f94f:累
縷,A:uc0---:007e37:縷,縷,A:uccmp1:00f950:縷
陋,A:uc0---:00964b:陋,陋,A:uccmp1:00f951:陋
勒,A:uc0---:0052d2:勒,勒,A:uccmp1:00f952:勒
肋,A:uc0---:00808b:肋,肋,A:uccmp1:00f953:肋
凜,A:uc0---:0051dc:凜,凜,A:uccmp1:00f954:凜
凌,A:uc0---:0051cc:凌,凌,A:uccmp1:00f955:凌
