iclabel,glyph,strokeorder,strokecount
A:u-----:0000a7:§,§,5,1
A:uc0---:004e00:一,一,1,1
A:uc0---:004e01:丁,丁,12,2
A:uc0---:004e02:丂,丂,15,2
A:uc0---:004e03:七,七,15,2
A:uc0---:004e04:丄,丄,21,2
A:uc0---:004e05:丅,丅,12,2
A:uc0---:004e06:丆,丆,13,2
A:uc0---:004e07:万,万,153,3
A:uc0---:004e08:丈,丈,134,3
A:uc0---:004e09:三,三,111,3
A:uc0---:004e0a:上,上,211,3
A:uc0---:004e0b:下,下,124,3
A:uc0---:004e0c:丌,丌,132,3
A:uc0---:004e0d:不,不,1324,4
A:uc0---:004e0e:与,与,151,3
A:uc0---:004e0f:丏,丏,1255,4
A:uc0---:004e10:丐,丐,1215,4
A:uc0---:004e11:丑,丑,5211,4
A:uc0---:004e12:丒,丒,5341,4
A:uc0---:004e13:专,专,1154,4
A:uc0---:004e14:且,且,25111,5
A:uc0---:004e15:丕,丕,13241,5
A:uc0---:004e16:世,世,12215,5
A:uc0---:004e17:丗,丗,12221,5
A:uc0---:004e18:丘,丘,32121,5
A:uc0---:004e19:丙,丙,12534,5
A:uc0---:004e1a:业,业,22431,5
A:uc0---:004e1b:丛,丛,34341,5
A:uc0---:004e1c:东,东,15234,5
A:uc0---:004e1d:丝,丝,55551,5
A:uc0---:004e1e:丞,丞,525341,6
A:uc0---:004e1f:丟,丟,112154,6
A:uc0---:004e20:丠,丠,211351,6
A:uc0---:004e21:両,両,125252,6
A:uc0---:004e22:丢,丢,312154,6
A:uc0---:004e23:丣,丣,1315251,7
A:uc0---:004e24:两,两,1253434,7
A:uc0---:004e25:严,严,1224313,7
A:uc0---:004e26:並,並,43122431,8
A:uc0---:004e27:丧,丧,12431534,8
A:uc0---:004e28:丨,丨,2,1
A:uc0---:004e29:丩,丩,25,2
A:uc0---:004e2a:个,个,342,3
A:uc0---:004e2b:丫,丫,432,3
A:uc0---:004e2c:丬,丬,412,3
A:uc0---:004e2d:中,中,2512,4
A:uc0---:004e2e:丮,丮,5112,4
A:uc0---:004e2f:丯,丯,3332,4
A:uc0---:004e30:丰,丰,1112,4
A:uc0---:004e31:丱,丱,53212,5
A:uc0---:004e32:串,串,2512512,7
A:uc0---:004e33:丳,丳,25125132,8
A:uc0---:004e34:临,临,223142521,9
A:uc0---:004e35:丵,丵,2243143112,10
A:uc0---:004e36:丶,丶,4,1
A:uc0---:004e37:丷,丷,43,2
A:uc0---:004e38:丸,丸,354,3
A:uc0---:004e39:丹,丹,3541,4
A:uc0---:004e3a:为,为,4354,4
A:uc0---:004e3b:主,主,41121,5
A:uc0---:004e3c:丼,丼,11324,5
A:uc0---:004e3d:丽,丽,1254254,7
A:uc0---:004e3e:举,举,443134112,9
A:uc0---:004e3f:丿,丿,3,1
A:uc0---:004e40:乀,乀,4,1
A:uc0---:004e41:乁,乁,5,1
A:uc0---:004e42:乂,乂,34,2
A:uc0---:004e43:乃,乃,53,2
A:uc0---:004e44:乄,乄,54,2
A:uc0---:004e45:久,久,354,3
A:uc0---:004e46:乆,乆,534,3
A:uc0---:004e47:乇,乇,315,3
A:uc0---:004e48:么,么,354,3
A:uc0---:004e49:义,义,434,3
A:uc0---:004e4a:乊,乊,343,3
A:uc0---:004e4b:之,之,454,3
A:uc0---:004e4c:乌,乌,3551,4
A:uc0---:004e4d:乍,乍,31211,5
A:uc0---:004e4e:乎,乎,34312,5
A:uc0---:004e4f:乏,乏,3454,4
A:uc0---:004e50:乐,乐,35234,5
A:uc0---:004e51:乑,乑,323334,6
A:uc0---:004e52:乒,乒,321213,6
A:uc0---:004e53:乓,乓,321214,6
A:uc0---:004e54:乔,乔,313432,6
A:uc0---:004e55:乕,乕,3311252,7
A:uc0---:004e56:乖,乖,31221135,8
A:uc0---:004e57:乗,乗,311221234,9
A:uc0---:004e58:乘,乘,3122113534,10
A:uc0---:004e59:乙,乙,5,1
A:uc0---:004e5a:乚,乚,5,1
A:uc0---:004e5b:乛,乛,5,1
A:uc0---:004e5c:乜,乜,55,2
A:uc0---:004e5d:九,九,35,2
A:uc0---:004e5e:乞,乞,315,3
A:uc0---:004e5f:也,也,525,3
A:uc0---:004e60:习,习,541,3
A:uc0---:004e61:乡,乡,553,3
A:uc0---:004e62:乢,乢,2525,4
A:uc0---:004e63:乣,乣,5545,4
A:uc0---:004e64:乤,乤,1245,4
A:uc0---:004e65:乥,乥,3435,4
A:uc0---:004e66:书,书,5524,4
A:uc0---:004e67:乧,乧,44125,5
A:uc0---:004e68:乨,乨,542515,6
A:uc0---:004e69:乩,乩,212515,6
A:uc0---:004e6a:乪,乪,525121,6
A:uc0---:004e6b:乫,乫,532515,6
A:uc0---:004e6c:乬,乬,125115,6
A:uc0---:004e6d:乭,乭,132515,6
A:uc0---:004e6e:乮,乮,353525,6
A:uc0---:004e6f:乯,乯,343125,6
A:uc0---:004e70:买,买,544134,6
A:uc0---:004e71:乱,乱,3122515,7
A:uc0---:004e72:乲,乲,4135345,7
A:uc0---:004e73:乳,乳,34435215,8
A:uc0---:004e74:乴,乴,12133125,8
A:uc0---:004e75:乵,乵,41431125,8
A:uc0---:004e76:乶,乶,12511245,8
A:uc0---:004e77:乷,乷,44123435,8
A:uc0---:004e78:乸,乸,52555414,8
A:uc0---:004e79:乹,乹,122511125,9
A:uc0---:004e7a:乺,乺,335133125,9
A:uc0---:004e7b:乻,乻,415334445,9
A:uc0---:004e7c:乼,乼,441411215,9
A:uc0---:004e7d:乽,乽,121325115,9
A:uc0---:004e7e:乾,乾,12251112315,11
A:uc0---:004e7f:乿,乿,34435542345,11
A:uc0---:004e80:亀,亀,35251125115,11
A:uc0---:004e81:亁,亁,122511112315,12
A:uc0---:004e82:亂,亂,3443542554545,13
A:uc0---:004e83:亃,亃,4312343541525,13
A:uc0---:004e84:亄,亄,1214512514315,13
A:uc0---:004e85:亅,亅,2,1
A:uc0---:004e86:了,了,5,1
A:uc0---:004e87:亇,亇,352,3
A:uc0---:004e88:予,予,5452,4
A:uc0---:004e89:争,争,355112,6
A:uc0---:004e8a:亊,亊,1435112,7
A:uc0---:004e8b:事,事,12515112,8
A:uc0---:004e8c:二,二,11,2
A:uc0---:004e8d:亍,亍,112,3
A:uc0---:004e8e:于,于,112,3
A:uc0---:004e8f:亏,亏,115,3
A:uc0---:004e90:亐,亐,115,3
A:uc0---:004e91:云,云,1154,4
A:uc0---:004e92:互,互,1551,4
A:uc0---:004e93:亓,亓,1132,4
A:uc0---:004e94:五,五,1251,4
A:uc0---:004e95:井,井,1132,4
A:uc0---:004e96:亖,亖,1111,4
A:uc0---:004e97:亗,亗,25211,5
A:uc0---:004e98:亘,亘,125111,6
A:uc0---:004e99:亙,亙,125441,6
A:uc0---:004e9a:亚,亚,122431,6
A:uc0---:004e9b:些,些,21213511,8
A:uc0---:004e9c:亜,亜,1251221,7
A:uc0---:004e9d:亝,亝,54545411,8
A:uc0---:004e9e:亞,亞,12155121,8
A:uc0---:004e9f:亟,亟,15251541,8
A:uc0---:004ea0:亠,亠,41,2
A:uc0---:004ea1:亡,亡,415,3
A:uc0---:004ea2:亢,亢,4135,4
A:uc0---:004ea3:亣,亣,4132,4
A:uc0---:004ea4:交,交,413434,6
A:uc0---:004ea5:亥,亥,415334,6
A:uc0---:004ea6:亦,亦,413234,6
