"cid_hex","glyph","texname"
"u/24","$","textdollar"
"u/27","'","textquotesingle"
"u/2a","*","ast"
"u/2d","-",""
"u/5c","\","textbackslash"
"u/60","`","textasciigrave"
"u/7b","{","lbrace"
"u/7c","|","vert"
"u/7d","}","rbrace"
"u/7e","~","textasciitilde"
"u/a1","¡","textexclamdown"
"u/a2","¢","textcent"
"u/a3","£","textsterling"
"u/a4","¤","textcurrency"
"u/a5","¥","textyen"
"u/a6","¦","textbrokenbar"
"u/a7","§","textsection"
"u/a8","¨","textasciidieresis"
"u/a9","©","textcopyright"
"u/aa","ª","textordfeminine"
"u/ab","«","guillemotleft"
"u/ac","¬","lnot"
"u/ad","­",""
"u/ae","®","textregistered"
"u/af","¯","textasciimacron"
"u/b0","°","textdegree"
"u/b1","±","pm"
"u/b2","²","^2"
"u/b3","³","^3"
"u/b4","´","textasciiacute"
"u/b5","µ","mathrm-mu"
"u/b6","¶","textparagraph"
"u/b7","·","cdot"
"u/b8","¸","c"
"u/b9","¹","^1"
"u/ba","º","textordmasculine"
"u/bb","»","guillemotright"
"u/bc","¼","textonequarter"
"u/bd","½","textonehalf"
"u/be","¾","textthreequarters"
"u/bf","¿","textquestiondown"
"u/c0","À","`-A"
"u/c1","Á","acute-A"
"u/c2","Â","^-A"
"u/c3","Ã","~-A"
"u/c4","Ä","""-A"
"u/c5","Å","AA"
"u/c6","Æ","AE"
"u/c7","Ç","c-C"
"u/c8","È","`-E"
"u/c9","É","acute-E"
"u/ca","Ê","^-E"
"u/cb","Ë","""-E"
"u/cc","Ì","`-I"
"u/cd","Í","acute-I"
"u/ce","Î","^-I"
"u/cf","Ï","""-I"
"u/d0","Ð","DH"
"u/d1","Ñ","~-N"
"u/d2","Ò","`-O"
"u/d3","Ó","acute-O"
"u/d4","Ô","^-O"
"u/d5","Õ","~-O"
"u/d6","Ö","""-O"
"u/d7","×","texttimes"
"u/d8","Ø","O"
"u/d9","Ù","`-U"
"u/da","Ú","acute-U"
"u/db","Û","^-U"
"u/dc","Ü","""-U"
"u/dd","Ý","acute-Y"
"u/de","Þ","TH"
"u/df","ß","ss"
"u/e0","à","`-a"
"u/e1","á","acute-a"
"u/e2","â","^-a"
"u/e3","ã","~-a"
"u/e4","ä","""-a"
"u/e5","å","aa"
"u/e6","æ","ae"
"u/e7","ç","c-c"
"u/e8","è","`-e"
"u/e9","é","acute-e"
"u/ea","ê","^-e"
"u/eb","ë","""-e"
"u/ec","ì","`-i"
"u/ed","í","acute-i"
"u/ee","î","^-i"
"u/ef","ï","""-i"
"u/f0","ð","dh"
"u/f1","ñ","~-n"
"u/f2","ò","`-o"
"u/f3","ó","acute-o"
"u/f4","ô","^-o"
"u/f5","õ","~-o"
"u/f6","ö","""-o"
"u/f7","÷","div"
"u/f8","ø","o"
"u/f9","ù","`-u"
"u/fa","ú","acute-u"
"u/fb","û","^-u"
"u/fc","ü","""-u"
"u/fd","ý","acute-y"
"u/fe","þ","th"
"u/ff","ÿ","""-y"
"u/100","Ā","=-A"
"u/101","ā","=-a"
"u/102","Ă","u-A"
"u/103","ă","u-a"
"u/104","Ą","k-A"
"u/105","ą","k-a"
"u/106","Ć","acute-C"
"u/107","ć","acute-c"
"u/108","Ĉ","^-C"
"u/109","ĉ","^-c"
"u/10a","Ċ",".-C"
"u/10b","ċ",".-c"
"u/10c","Č","v-C"
"u/10d","č","v-c"
"u/10e","Ď","v-D"
"u/10f","ď","v-d"
"u/110","Đ","DJ"
"u/111","đ","dj"
"u/112","Ē","=-E"
"u/113","ē","=-e"
"u/114","Ĕ","u-E"
"u/115","ĕ","u-e"
"u/116","Ė",".-E"
"u/117","ė",".-e"
"u/118","Ę","k-E"
"u/119","ę","k-e"
"u/11a","Ě","v-E"
"u/11b","ě","v-e"
"u/11c","Ĝ","^-G"
"u/11d","ĝ","^-g"
"u/11e","Ğ","u-G"
"u/11f","ğ","u-g"
"u/120","Ġ",".-G"
"u/121","ġ",".-g"
"u/122","Ģ","c-G"
"u/123","ģ","c-g"
"u/124","Ĥ","^-H"
"u/125","ĥ","^-h"
"u/126","Ħ","fontencoding-LELA-selectfontchar40"
"u/127","ħ","Elzxh"
"u/128","Ĩ","~-I"
"u/129","ĩ","~-i"
"u/12a","Ī","=-I"
"u/12b","ī","=-i"
"u/12c","Ĭ","u-I"
"u/12d","ĭ","u-i"
"u/12e","Į","k-I"
"u/12f","į","k-i"
"u/130","İ",".-I"
"u/131","ı","i"
"u/132","Ĳ","IJ"
"u/133","ĳ","ij"
"u/134","Ĵ","^-J"
"u/135","ĵ","^-j"
"u/136","Ķ","c-K"
"u/137","ķ","c-k"
"u/138","ĸ","fontencoding-LELA-selectfontchar91"
"u/139","Ĺ","acute-L"
"u/13a","ĺ","acute-l"
"u/13b","Ļ","c-L"
"u/13c","ļ","c-l"
"u/13d","Ľ","v-L"
"u/13e","ľ","v-l"
"u/13f","Ŀ","fontencoding-LELA-selectfontchar201"
"u/140","ŀ","fontencoding-LELA-selectfontchar202"
"u/141","Ł","L"
"u/142","ł","l"
"u/143","Ń","acute-N"
"u/144","ń","acute-n"
"u/145","Ņ","c-N"
"u/146","ņ","c-n"
"u/147","Ň","v-N"
"u/148","ň","v-n"
"u/149","ŉ","acuten"
"u/14a","Ŋ","NG"
"u/14b","ŋ","ng"
"u/14c","Ō","=-O"
"u/14d","ō","=-o"
"u/14e","Ŏ","u-O"
"u/14f","ŏ","u-o"
"u/150","Ő","H-O"
"u/151","ő","H-o"
"u/152","Œ","OE"
"u/153","œ","oe"
"u/154","Ŕ","acute-R"
"u/155","ŕ","acute-r"
"u/156","Ŗ","c-R"
"u/157","ŗ","c-r"
"u/158","Ř","v-R"
"u/159","ř","v-r"
"u/15a","Ś","acute-S"
"u/15b","ś","acute-s"
"u/15c","Ŝ","^-S"
"u/15d","ŝ","^-s"
"u/15e","Ş","c-S"
"u/15f","ş","c-s"
"u/160","Š","v-S"
"u/161","š","v-s"
"u/162","Ţ","c-T"
"u/163","ţ","c-t"
"u/164","Ť","v-T"
"u/165","ť","v-t"
"u/166","Ŧ","fontencoding-LELA-selectfontchar47"
"u/167","ŧ","fontencoding-LELA-selectfontchar63"
"u/168","Ũ","~-U"
"u/169","ũ","~-u"
"u/16a","Ū","=-U"
"u/16b","ū","=-u"
"u/16c","Ŭ","u-U"
"u/16d","ŭ","u-u"
"u/16e","Ů","r-U"
"u/16f","ů","r-u"
"u/170","Ű","H-U"
"u/171","ű","H-u"
"u/172","Ų","k-U"
"u/173","ų","k-u"
"u/174","Ŵ","^-W"
"u/175","ŵ","^-w"
"u/176","Ŷ","^-Y"
"u/177","ŷ","^-y"
"u/178","Ÿ","""-Y"
"u/179","Ź","acute-Z"
"u/17a","ź","acute-z"
"u/17b","Ż",".-Z"
"u/17c","ż",".-z"
"u/17d","Ž","v-Z"
"u/17e","ž","v-z"
"u/192","ƒ","f"
"u/195","ƕ","texthvlig"
"u/19e","ƞ","textnrleg"
"u/1aa","ƪ","eth"
"u/1ba","ƺ","fontencoding-LELA-selectfontchar195"
"u/1c2","ǂ","textdoublepipe"
"u/1f5","ǵ","acute-g"
"u/250","ɐ","Elztrna"
"u/252","ɒ","Elztrnsa"
"u/254","ɔ","Elzopeno"
"u/256","ɖ","Elzrtld"
"u/258","ɘ","fontencoding-LEIP-selectfontchar61"
"u/259","ə","Elzschwa"
"u/25b","ɛ","varepsilon"
"u/261","ɡ","g"
"u/263","ɣ","Elzpgamma"
"u/264","ɤ","Elzpbgam"
"u/265","ɥ","Elztrnh"
"u/26c","ɬ","Elzbtdl"
"u/26d","ɭ","Elzrtll"
"u/26f","ɯ","Elztrnm"
"u/270","ɰ","Elztrnmlr"
"u/271","ɱ","Elzltlmr"
"u/272","ɲ","Elzltln"
"u/273","ɳ","Elzrtln"
"u/277","ɷ","Elzclomeg"
"u/278","ɸ","textphi"
"u/279","ɹ","Elztrnr"
"u/27a","ɺ","Elztrnrl"
"u/27b","ɻ","Elzrttrnr"
"u/27c","ɼ","Elzrl"
"u/27d","ɽ","Elzrtlr"
"u/27e","ɾ","Elzfhr"
"u/27f","ɿ","fontencoding-LEIP-selectfontchar202"
"u/282","ʂ","Elzrtls"
"u/283","ʃ","Elzesh"
"u/287","ʇ","Elztrnt"
"u/288","ʈ","Elzrtlt"
"u/28a","ʊ","Elzpupsil"
"u/28b","ʋ","Elzpscrv"
"u/28c","ʌ","Elzinvv"
"u/28d","ʍ","Elzinvw"
