"uname_token","rank"
"1","27"
"2","59"
"3","32"
"4","21"
"5","21"
"6","15"
"7","10"
"8","8"
"9","10"
"10","4"
"11","5"
"12","5"
"13","5"
"14","5"
"15","4"
"16","4"
"17","4"
"18","5"
"19","3"
"20","2"
"21","2"
"22","1"
"23","3"
"24","3"
"25","2"
"26","2"
"27","2"
"28","1"
"29","1"
"30","1"
"32","1"
"34","1"
"35","1"
"36","2"
"37","2"
"38","2"
"39","2"
"40","1"
"42","1"
"43","1"
"45","2"
"46","1"
"47","2"
"48","2"
"49","1"
"50","2"
"51","2"
"52","2"
"53","2"
"54","2"
"56","1"
"57","1"
"58","1"
"67","1"
"68","1"
"78","1"
"102","1"
"123","1"
"124","1"
"125","1"
"126","1"
"127","1"
"128","1"
"130","1"
"134","1"
"135","1"
"136","1"
"137","1"
"138","1"
"142","1"
"145","1"
"146","1"
"147","1"
"148","1"
"156","1"
"157","1"
"158","1"
"167","1"
"168","1"
"178","1"
"210","1"
"219","1"
"220","1"
"225","1"
"228","1"
"234","1"
"235","1"
"236","1"
"237","1"
"238","2"
"245","1"
"246","1"
"247","1"
"248","1"
"256","1"
"257","1"
"258","1"
"265","1"
"266","1"
"267","1"
"268","1"
"278","1"
"343","1"
"345","1"
"346","1"
"347","2"
"348","2"
"356","1"
"357","1"
"358","1"
"367","1"
"368","1"
"378","1"
"383","1"
"384","1"
"390","1"
"441","1"
"449","6"
"450","1"
"456","1"
"457","2"
"458","1"
"467","1"
"468","1"
"470","1"
"478","1"
"483","1"
"490","1"
"492","1"
"493","1"
"495","1"
"550","1"
"567","1"
"568","1"
"578","1"
"608","1"
"617","11"
"636","1"
"648","10"
"668","1"
"678","1"
"724","1"
"749","1"
"1234","1"
"1235","1"
"1236","1"
"1237","1"
"1238","1"
"1245","1"
"1246","1"
"1247","1"
"1248","1"
"1256","1"
"1257","1"
"1258","1"
"1267","1"
"1268","1"
"1278","1"
"1345","1"
"1346","1"
"1347","1"
"1348","1"
"1356","1"
"1357","1"
"1358","1"
"1367","1"
"1368","1"
"1378","1"
"1456","1"
"1457","1"
"1458","1"
"1467","1"
"1468","1"
"1478","1"
"1567","1"
"1568","1"
"1578","1"
"1678","1"
"2345","1"
"2346","1"
"2347","1"
"2348","1"
"2356","1"
"2357","1"
"2358","1"
"2367","1"
"2368","1"
"2378","1"
"2456","1"
"2457","1"
"2458","1"
"2467","1"
"2468","1"
"2478","1"
"2567","1"
"2568","1"
"2578","1"
"2678","1"
"3456","1"
"3457","1"
"3458","1"
"3467","1"
"3468","1"
"3478","1"
"3567","1"
"3568","1"
"3578","1"
"3678","1"
"4567","1"
"4568","1"
"4578","1"
"4678","1"
"5272","1"
"5408","1"
"5439","1"
"5678","1"
"5929","1"
"6253","2"
"6295","1"
"6307","1"
"6355","1"
"6557","1"
"6599","1"
"6620","1"
"6708","1"
"6709","1"
"7121","1"
"7533","1"
"7981","1"
"12345","1"
"12346","1"
"12347","1"
"12348","1"
"12356","1"
"12357","1"
"12358","1"
"12367","1"
"12368","1"
"12378","1"
"12456","1"
"12457","1"
"12458","1"
"12467","1"
"12468","1"
"12478","1"
"12567","1"
"12568","1"
"12578","1"
"12678","1"
"13456","1"
"13457","1"
"13458","1"
"13467","1"
"13468","1"
"13478","1"
"13567","1"
"13568","1"
"13578","1"
"13678","1"
"14567","1"
"14568","1"
"14578","1"
"14678","1"
"15678","1"
"23456","1"
"23457","1"
"23458","1"
"23467","1"
"23468","1"
"23478","1"
"23567","1"
"23568","1"
"23578","1"
"23678","1"
"24567","1"
"24568","1"
"24578","1"
"24678","1"
"25678","1"
"34567","1"
"34568","1"
"34578","1"
"34678","1"
"35678","1"
"45678","1"
"123456","1"
"123457","1"
"123458","1"
"123467","1"
"123468","1"
"123478","1"
"123567","1"
"123568","1"
"123578","1"
"123678","1"
"124567","1"
"124568","1"
"124578","1"
"124678","1"
"125678","1"
"134567","1"
"134568","1"
"134578","1"
"134678","1"
"135678","1"
"145678","1"
"234567","1"
"234568","1"
"234578","1"
"234678","1"
"235678","1"
"245678","1"
"345678","1"
"1234567","1"
"1234568","1"
"1234578","1"
"1234678","1"
"1235678","1"
"1245678","1"
"1345678","1"
"2345678","1"
"12345678","1"
"exclamation","22"
"mark","315"
"quotation","29"
"number","384"
"sign","2980"
"dollar","5"
"percent","4"
"ampersand","7"
"apostrophe","8"
"left","392"
"parenthesis","36"
"right","396"
"asterisk","45"
"plus","176"
"comma","55"
"hyphen","14"
"minus","26"
"full","50"
"stop","69"
"solidus","21"
"digit","745"
"zero","76"
"one","267"
"two","288"
"three","242"
"four","194"
"five","177"
"six","133"
"seven","118"
"eight","133"
"nine","117"
"colon","29"
"semicolon","11"
"less","60"
"than","124"
"equals","33"
"greater","61"
"question","25"
"commercial","4"
"at","21"
"latin","1438"
"capital","1789"
"letter","8870"
"a","782"
"b","341"
"c","200"
"d","208"
"e","444"
"f","121"
"g","88"
"h","92"
"i","287"
"j","78"
"k","90"
"l","145"
"m","105"
"n","138"
"o","324"
"p","89"
"q","53"
"r","154"
"s","140"
"t","94"
"u","373"
"v","86"
"w","72"
"x","83"
"y","93"
"z","90"
"square","344"
"bracket","131"
"reverse","21"
"circumflex","79"
"accent","66"
"low","140"
"line","97"
"grave","74"
"small","2429"
"curly","33"
"vertical","241"
"tilde","105"
"delete","3"
"break","2"
"permitted","1"
"here","2"
"no","43"
"next","2"
"(nel)","1"
"start","6"
"of","217"
"selected","2"
"area","4"
"end","25"
"character","99"
"tabulation","5"
"set","12"
"with","2610"
"justification","1"
"partial","8"
"forward","19"
"backward","1"
"feed","4"
"single","86"
"shift","4"
"device","5"
"control","8"
"string","5"
"private","3"
"use","3"
"transmit","1"
"state","1"
"cancel","3"
"message","2"
"waiting","3"
"guarded","2"
"introducer","2"
"sequence","1"
"terminator","2"
"operating","1"
"system","1"
"command","2"
"privacy","1"
"application","2"
"program","1"
"inverted","57"
"cent","2"
"pound","3"
"currency","11"
"yen","5"
"broken","6"
"bar","144"
"section","37"
"diaeresis","77"
"copyright","2"
"feminine","2"
"ordinal","2"
"indicator","32"
"pointing","146"
"double","429"
"angle","80"
"not","66"
"soft","14"
"registered","1"
"macron","74"
"degree","4"
"superscript","25"
"acute","98"
"micro","1"
"pilcrow","2"
"middle","155"
"dot","272"
"cedilla","29"
"masculine","1"
"vulgar","19"
"fraction","60"
"quarter","32"
"half","125"
"quarters","7"
"ring","116"
"above","425"
"ae","33"
"eth","8"
"multiplication","13"
"stroke","226"
"thorn","7"
"sharp","7"
"division","8"
"breve","59"
"ogonek","15"
"caron","45"
"dotless","20"
"ligature","516"
"ij","2"
"kra","1"
"preceded","1"
"by","12"
"eng","10"
"oe","38"
"long","113"
"hook","175"
"topbar","4"
"tone","172"
"open","116"
"african","1"
"turned","85"
"delta","20"
"reversed","79"
"schwa","12"
"gamma","22"
"hv","4"
