"cid_hex","glyph","uname"
"u/21","!","exclamation mark"
"u/22","""","quotation mark"
"u/23","#","number sign"
"u/24","$","dollar sign"
"u/25","%","percent sign"
"u/26","&","ampersand"
"u/27","'","apostrophe"
"u/28","(","left parenthesis"
"u/29",")","right parenthesis"
"u/2a","*","asterisk"
"u/2b","+","plus sign"
"u/2c",",","comma"
"u/2d","-","hyphen-minus"
"u/2e",".","full stop"
"u/2f","/","solidus"
"u/30","0","digit zero"
"u/31","1","digit one"
"u/32","2","digit two"
"u/33","3","digit three"
"u/34","4","digit four"
"u/35","5","digit five"
"u/36","6","digit six"
"u/37","7","digit seven"
"u/38","8","digit eight"
"u/39","9","digit nine"
"u/3a",":","colon"
"u/3b",";","semicolon"
"u/3c","<","less-than sign"
"u/3d","=","equals sign"
"u/3e",">","greater-than sign"
"u/3f","?","question mark"
"u/40","@","commercial at"
"u/41","A","latin capital letter a"
"u/42","B","latin capital letter b"
"u/43","C","latin capital letter c"
"u/44","D","latin capital letter d"
"u/45","E","latin capital letter e"
"u/46","F","latin capital letter f"
"u/47","G","latin capital letter g"
"u/48","H","latin capital letter h"
"u/49","I","latin capital letter i"
"u/4a","J","latin capital letter j"
"u/4b","K","latin capital letter k"
"u/4c","L","latin capital letter l"
"u/4d","M","latin capital letter m"
"u/4e","N","latin capital letter n"
"u/4f","O","latin capital letter o"
"u/50","P","latin capital letter p"
"u/51","Q","latin capital letter q"
"u/52","R","latin capital letter r"
"u/53","S","latin capital letter s"
"u/54","T","latin capital letter t"
"u/55","U","latin capital letter u"
"u/56","V","latin capital letter v"
"u/57","W","latin capital letter w"
"u/58","X","latin capital letter x"
"u/59","Y","latin capital letter y"
"u/5a","Z","latin capital letter z"
"u/5b","[","left square bracket"
"u/5c","\","reverse solidus"
"u/5d","]","right square bracket"
"u/5e","^","circumflex accent"
"u/5f","_","low line"
"u/60","`","grave accent"
"u/61","a","latin small letter a"
"u/62","b","latin small letter b"
"u/63","c","latin small letter c"
"u/64","d","latin small letter d"
"u/65","e","latin small letter e"
"u/66","f","latin small letter f"
"u/67","g","latin small letter g"
"u/68","h","latin small letter h"
"u/69","i","latin small letter i"
"u/6a","j","latin small letter j"
"u/6b","k","latin small letter k"
"u/6c","l","latin small letter l"
"u/6d","m","latin small letter m"
"u/6e","n","latin small letter n"
"u/6f","o","latin small letter o"
"u/70","p","latin small letter p"
"u/71","q","latin small letter q"
"u/72","r","latin small letter r"
"u/73","s","latin small letter s"
"u/74","t","latin small letter t"
"u/75","u","latin small letter u"
"u/76","v","latin small letter v"
"u/77","w","latin small letter w"
"u/78","x","latin small letter x"
"u/79","y","latin small letter y"
"u/7a","z","latin small letter z"
"u/7b","{","left curly bracket"
"u/7c","|","vertical line"
"u/7d","}","right curly bracket"
"u/7e","~","tilde"
"u/7f","","delete"
"u/82","","break permitted here"
"u/83","","no break here"
"u/85","","next line (nel)"
"u/86","","start of selected area"
"u/87","","end of selected area"
"u/88","","character tabulation set"
"u/89","","character tabulation with justification"
"u/8a","","line tabulation set"
"u/8b","","partial line forward"
