ID,UNICODE DESCRIPTION,Entity,mode,type,latex,category,op dict
U00000,NULL, ,unknown,other, ,Cc,
U00001,START OF HEADING, ,unknown,other, ,Cc,
U00002,START OF TEXT, ,unknown,other, ,Cc,
U00003,END OF TEXT, ,unknown,other, ,Cc,
U00004,END OF TRANSMISSION, ,unknown,other, ,Cc,
U00005,ENQUIRY, ,unknown,other, ,Cc,
U00006,ACKNOWLEDGE, ,unknown,other, ,Cc,
U00007,BELL, ,unknown,other, ,Cc,
U00008,BACKSPACE, ,unknown,other, ,Cc,
U00009,CHARACTER TABULATION,Tab,text,other, ,Cc,
U0000A,LINE FEED (LF),NewLine,text,other, ,Cc,
U0000B,LINE TABULATION, ,unknown,other, ,Cc,
U0000C,FORM FEED (FF), ,unknown,other, ,Cc,
U0000D,CARRIAGE RETURN (CR), ,text,other, ,Cc,
U0000E,SHIFT OUT, ,unknown,other, ,Cc,
U0000F,SHIFT IN, ,unknown,other, ,Cc,
U00010,DATA LINK ESCAPE, ,unknown,other, ,Cc,
U00011,DEVICE CONTROL ONE, ,unknown,other, ,Cc,
U00012,DEVICE CONTROL TWO, ,unknown,other, ,Cc,
U00013,DEVICE CONTROL THREE, ,unknown,other, ,Cc,
U00014,DEVICE CONTROL FOUR, ,unknown,other, ,Cc,
U00015,NEGATIVE ACKNOWLEDGE, ,unknown,other, ,Cc,
U00016,SYNCHRONOUS IDLE, ,unknown,other, ,Cc,
U00017,END OF TRANSMISSION BLOCK, ,unknown,other, ,Cc,
U00018,CANCEL, ,unknown,other, ,Cc,
U00019,END OF MEDIUM, ,unknown,other, ,Cc,
U0001A,SUBSTITUTE, ,unknown,other, ,Cc,
U0001B,ESCAPE, ,unknown,other, ,Cc,
U0001C,INFORMATION SEPARATOR FOUR, ,unknown,other, ,Cc,
U0001D,INFORMATION SEPARATOR THREE, ,unknown,other, ,Cc,
U0001E,INFORMATION SEPARATOR TWO, ,unknown,other, ,Cc,
U0001F,INFORMATION SEPARATOR ONE, ,unknown,other, ,Cc,
U00020,SPACE, ,text,other,\space,Zs,
U00021,EXCLAMATION MARK,excl,text,punctuation,!,Po,postfix
U00021-00021,MULTIPLE CHARACTER OPERATOR: !!, , , , , ,postfix
U00021-0003D,MULTIPLE CHARACTER OPERATOR: !=, , , , , ,infix
U00022,QUOTATION MARK,quot QUOT,text,other,"""",Po,postfix accent
U00023,NUMBER SIGN,num,text,normal,\#,Po,
U00024,DOLLAR SIGN,dollar,mixed,normal,\textdollar,Sc,
U00025,PERCENT SIGN,percnt,text,normal,\%,Po,infix
U00026,AMPERSAND,amp AMP,text,other,\&,Po,postfix
U00026-00026,MULTIPLE CHARACTER OPERATOR: &&, , , , , ,infix
U00027,APOSTROPHE,apos,text,other,\textquotesingle,Po,postfix accent
U00028,LEFT PARENTHESIS,lpar,text,opening,(,Ps,prefix symmetric fence stretchy
U00029,RIGHT PARENTHESIS,rpar,text,closing,),Pe,postfix symmetric fence stretchy
U0002A,ASTERISK,ast midast,math,other,\ast,Po,infix
U0002A-0002A,MULTIPLE CHARACTER OPERATOR: **, , , , , ,infix
