iclabel,glyph,usagecode
A:uc0---:005fc3:心,心,CJKTHM
A:uc0---:007af9:竹,竹,CJKTHM
A:uc0---:008a00:言,言,CJKTHM
A:uc0---:0091d1:金,金,CJKTHM
A:uc0---:008863:衣,衣,CJKTHM
A:uc0---:00793a:示,示,CJKTHM
A:uc0---:0051b0:冰,冰,CJTHM
A:uc0---:006c37:氷,氷,JK
A:uc0---:006c34:水,水,CJKTHM
A:uc0---:00624b:手,手,CJKTHM
A:uc0---:008db3:足,足,CJKTHM
A:uc0---:009577:長,長,JKTHM
A:uc0---:00957f:长,长,C
A:uc0---:008349:草,草,CJKTHM
A:uc0---:008278:艸,艸,CJKTHM
A:uc0---:007db2:網,網,JKTHM
A:uc0---:007f54:罔,罔,cKTHm
A:uc0---:007f51:网,网,Ct
A:uc0---:00897f:西,西,CJKTHM
A:uc0---:0096e8:雨,雨,CJKTHM
A:uc0---:007d72:絲,絲,JKTHM
A:uc0---:007cf8:糸,糸,JT
A:uc0---:004e1d:丝,丝,C
A:uc0---:00807f:聿,聿,cJKTHm
A:uc0---:00722a:爪,爪,CJKTHm
A:uc0---:004eba:人,人,CJKTHM
A:uc0---:00706b:火,火,CJKTHM
A:uc0---:0072ac:犬,犬,CJKTHM
A:uc0---:009ce5:鳥,鳥,JKTHM
A:uc0---:009e1f:鸟,鸟,C
A:uc0---:00723f:爿,爿,ct
A:uc0---:007f8a:羊,羊,CJKTHM
A:uc0---:00725b:牛,牛,CJKTHM
A:uc0---:005f51:彑,彑,cjkthm
A:uc0---:00826e:艮,艮,cJKTH
A:uc0---:00826f:良,良,CJKTHM
A:uc0---:0098df:食,食,CJKTHM
A:uc0---:008fb5:辵,辵,CJKTHM
A:ucsym-:00303b:〻,〻,cjkthm
A:ucsym-:00303c:〼,〼,J
A:ucsym-:003013:〓,〓,J
A:uc0---:004e18:丘,丘,CJKTHM
A:uc0---:005775:坵,坵,cKt
A:uc0---:004e94:五,五,CJKTHM
A:uc0---:004f0d:伍,伍,CJKTHM
A:uc0---:0051f6:凶,凶,CJKTHm
A:uc0---:005147:兇,兇,KTHM
A:uc0---:008944:襄,襄,CJKTHm
A:uc0---:005eb8:庸,庸,CJKTHM
A:uc0---:006500:攀,攀,CJKTHM
A:uc0---:006273:扳,扳,CTHM
A:uc0---:004fae:侮,侮,CJKTHm
A:uc0---:005c2a:尪,尪,t
A:uc0---:005138:儸,儸,T
A:uc0---:005edd:廝,廝,THm
A:uc0---:0053ae:厮,厮,c
A:uc0---:006587:文,文,CJKTHM
A:uc0---:005168:全,全,CJKTHM
A:uc0---:00624d:才,才,CJKTHM
A:uc0---:008ca1:財,財,JKTHM
A:uc0---:007e94:纔,纔,T
A:uc0---:008d22:财,财,C
A:uc0---:008208:興,興,JKTHM
A:uc0---:005174:兴,兴,C
A:uc0---:0062ab:披,披,CJKTHM
A:uc0---:00528f:劏,劏,hm
A:uc0---:00523a:刺,刺,CJKTHM
A:uc0---:0083bf:莿,莿,t
A:uc0---:0051cb:凋,凋,CJKTHm
A:uc0---:0096d5:雕,雕,CKTHM
A:uc0---:005f6b:彫,彫,JKTH
A:uc0---:009d70:鵰,鵰,thm
A:uc0---:005293:劓,劓,cT
A:uc0---:0065b2:斲,斲,t
A:uc0---:005ebe:庾,庾,cKTHm
A:uc0---:005eda:廚,廚,KTHM
A:uc0---:0053a8:厨,厨,CJ
A:uc0---:005237:刷,刷,CJKTHM
A:uc0---:00565a:噚,噚,h
A:uc0---:00558e:喎,喎,hm
A:uc0---:005556:啖,啖,cJKTHm
A:uc0---:005557:啗,啗,T
A:uc0---:0055d2:嗒,嗒,ctm
A:ucxa--:0035f3:㗳,㗳,h
A:uc0---:00929c:銜,銜,KTHM
A:uc0---:005563:啣,啣,KTH
A:uc0---:008854:衔,衔,C
A:uc0---:005854:塔,塔,CJKTHM
A:uc0---:00594e:奎,奎,CJKTHm
A:uc0---:0059e3:姣,姣,cTHm
A:uc0---:006696:暖,暖,CJKTHM
A:uc0---:007156:煖,煖,JKT
A:uc0---:008afc:諼,諼,T
A:uc0---:005a29:娩,娩,CJKTHm
A:uc0---:005bbf:宿,宿,CJKTHM
A:uc0---:007919:礙,礙,THM
A:uc0---:00788d:碍,碍,CJK
A:uc0---:005c45:居,居,CJKTHM
A:uc0---:008c73:豳,豳,cT
A:uc0---:005d87:嶇,嶇,KTHm
A:uc0---:005c96:岖,岖,c
A:uc0---:004ee5:以,以,CJKTHM
A:uc0---:005e06:帆,帆,CJKTHM
A:uc0---:0062da:拚,拚,cTHM
A:uc0---:007c3e:簾,簾,JKTHm
A:uc0---:005e18:帘,帘,CTH
A:uc0---:0065a5:斥,斥,CJKTHM
A:uc0---:005fcd:忍,忍,CJKTHM
A:uc0---:007b28:笨,笨,CTHM
A:uc0---:006148:慈,慈,CJKThM
A:uc0---:0060b6:悶,悶,JKTHM
A:uc0---:0095f7:闷,闷,C
A:uc0---:0061e3:懣,懣,JTHm
A:uc0---:0061d1:懑,懑,c
A:uc0---:006536:收,收,CJKTHM
A:uc0---:0053ce:収,収,J
A:uc0---:00627c:扼,扼,CKTHm
A:ucxa--:0039df:㧟,㧟,c
A:uc0---:0062bf:抿,抿,CTH
A:uc0---:00652c:攬,攬,JKTHM
A:uc0---:0063fd:揽,揽,C
A:uc0---:0064e5:擥,擥,K
A:uc0---:006482:撂,撂,Ct
A:uc0---:0066f4:更,更,CJKTHM
A:uc0---:008209:舉,舉,THM
A:uc0---:004e3e:举,举,C
A:uc0---:006319:挙,挙,J
A:uc0---:0064e7:擧,擧,K
A:uc0---:005043:偃,偃,cKTHm
A:uc0---:0066fc:曼,曼,CJKTHM
A:uc0---:008e2d:踭,踭,h
A:ucxa--:003b39:㬹,㬹,h
A:uc0---:006930:椰,椰,CJKTHm
A:uc0---:006982:概,概,CJTHM
A:uc0---:0069ea:槪,槪,K
A:uc0---:006f06:漆,漆,CJKTHM
A:uc0---:006ad3:櫓,櫓,JKTHm
A:uc0---:00826a:艪,艪,J
A:uc0---:006a79:橹,橹,c
A:uc0---:0068d5:棕,棕,CKTHm
A:uc0---:006ab3:檳,檳,KTHm
A:uc0---:0069df:槟,槟,c
A:uc0---:006af3:櫳,櫳,t
A:uc0---:006bbc:殼,殼,KTHM
A:uc0---:0058f3:壳,壳,C
A:uc0---:006bbb:殻,殻,J
A:uc0---:007d68:絨,絨,JKTHm
A:uc0---:007ed2:绒,绒,C
A:uc0---:006d8e:涎,涎,CJKTHm
A:uc0---:006eaf:溯,溯,CJKTHm
A:uc0---:009061:遡,遡,JK
A:uc0---:006cb8:沸,沸,CJKTHM
A:uc0---:0071f6:燶,燶,h
A:uc0---:005c09:尉,尉,CJKTHm
A:uc0---:0071a8:熨,熨,cJTHm
A:uc0---:0071d0:燐,燐,JKTHm
A:uc0---:0078f7:磷,磷,CTHm
A:uc0---:0057df:域,域,CJKTHM
A:uc0---:0075fc:痼,痼,cKt
A:uc0---:00768e:皎,皎,cJKTHm
A:uc0---:007cd9:糙,糙,CTHm
A:uc0---:009e7d:鹽,鹽,KTHM
A:uc0---:0076d0:盐,盐,C
A:uc0---:005869:塩,塩,J
A:uc0---:0077bf:瞿,瞿,cJKTHM
A:uc0---:0077ac:瞬,瞬,CJKTHM
A:uc0---:00776b:睫,睫,CJKTHm
A:ucxa--:00406a:䁪,䁪,h
A:uc0---:00592f:夯,夯,Ct
A:uc0---:00739f:玟,玟,cKTHm
A:uc0---:0073c9:珉,珉,cKt
A:uc0---:007807:砇,砇,k
A:uc0---:00811b:脛,脛,JKtm
