variants
"一,壹,壱,弌"
"七,柒"
"三,叁"
"丑,醜"
"丕,仳"
"丘,坵"
"丟,丢"
"丫,椏,枒,桠"
"乃,迺,廼"
"乘,乗"
"九,玖"
"亂,乱"
"了,瞭,暸"
"予,豫,預,预"
"二,貳,贰,弐"
"于,於,亐"
"云,雲"
"五,伍"
"井,丼"
"亙,亘"
"亞,亚,亜"
"什,甚"
"仇,讐,讎"
"他,她,它,牠,祂"
"仙,僊"
"伸,抻"
"佇,伫"
"佑,祐"
"余,餘,馀"
"佛,彿,仏"
"你,妳"
"佩,珮"
"來,来"
"侶,侣"
"俊,儁"
"俎,爼"
"俞,兪"
"俠,侠"
"修,脩"
"俯,頫"
"俱,倶"
"倀,伥"
"倅,伜"
"倆,俩"
"倉,仓"
"個,箇,个"
"們,们"
"倘,儻,傥"
"倫,伦"
"值,値"
"假,仮"
"偉,伟"
"偎,隈"
"停,仃"
"側,侧"
"偵,侦"
"偷,偸"
"偽,伪,僞"
"傘,伞,繖"
"備,备"
"傜,徭"
"傭,佣"
"傳,传,伝"
"債,债"
"傷,伤"
"傾,倾"
"僂,偻"
"僅,仅"
"僑,侨"
"僕,仆"
"僥,侥"
"僭,僣"
"僵,殭"
"價,价,価"
"儀,仪"
"儂,侬"
"億,亿"
"儈,侩"
"儉,俭,倹"
"儐,傧"
"儔,俦"
"儕,侪"
"償,偿"
"優,优"
"儲,储"
"儷,俪"
"儺,傩"
"儼,俨"
"元,圓,円,圆"
"克,剋"
"兌,兑"
"兒,儿,児"
"兔,兎"
"兗,兖"
"內,内"
"兩,両,两"
"八,捌"
"六,陸,陆"
"其,亓"
"冊,册"
"冑,胄"
"冤,寃"
"冪,幂"
"冬,鼕"
"冰,氷"
"冽,洌"
"准,準,凖"
"凋,雕,彫,鵰"
"凌,淩"
"凍,冻"
"凜,懍,凛"
"几,幾"
"凱,凯"
"凳,櫈"
"凶,兇"
"出,齣"
"分,份"
"刈,苅"
"刊,栞"
"划,劃"
"別,彆,别"
"刨,鉋,鑤"
"刪,删"
"刮,颳"
"制,製"
"刺,莿"
"則,则"
"剎,刹"
"剛,刚"
"剝,剥"
"剩,賸,剰"
"剪,翦"
"創,创"
"剷,鏟,铲"
"剿,勦"
"劇,剧"
"劉,刘"
"劊,刽"
"劍,剑,剣,劒,剱"
"劑,剂,剤"
"勁,劲"
"動,动,働"
"勗,勖"
"務,务"
"勝,胜"
"勞,劳,労"
"勢,势"
"勤,懃"
"勳,勛,勋,勲"
"勵,励,劢"
"勸,劝,勧"
"勻,匀"
"包,鞄"
"匆,悤,怱"
"匝,帀"
"匯,彙,汇,滙"
"匱,匮"
"匹,疋"
"區,区"
"千,仟,韆"
"升,昇,陞"
"協,勰,协,劦"
"卜,蔔"
"占,佔"
"即,卽"
"卷,捲,巻"
"卻,却"
"厄,阨"
"厘,釐"
"厭,厌"
"厲,厉"
"參,蔘,参"
"叉,扠"
"叢,丛"
"句,勾"
"叨,饕"
"只,祇,隻,衹"
"台,颱,臺,檯,枱"
"吁,籲"
"吃,喫"
"合,閤"
"吊,弔"
"同,仝"
"后,後"
"向,嚮"
"吝,悋"
"吞,呑"
"吳,吴,呉"
"吸,噏"
"吻,脗"
"呂,吕"
"呆,獃"
"周,週"
"呵,訶,嗬,诃"
"和,龢"
"咒,呪"
"咖,珈"
"咝,噝"
"咤,吒"
"咩,羋,芈,𦍋"
"咯,詻"
"咱,偺"
"咸,鹹"
"咽,嚥"
"哄,鬨"
"員,员"
"哲,喆"
"唄,呗"
"唇,脣"
"唉,欸"
"啃,齦,龈"
"問,问"
"啖,啗"
"啞,哑,唖"
"啟,啓,启"
"啡,琲"
"喂,餵"
"喃,娚"
"喚,唤"
"喜,憙,憘"
"喪,丧"
"喬,乔"
"單,单,単"
"喲,哟"
"喻,喩"
"嗆,呛"
"嗇,啬"
"嗎,吗"
"嗒,㗳"
"嗚,呜"
"嗩,唢"
"嗶,哔"
"嘍,喽"
"嘔,呕"
"嘖,啧"
"嘗,嚐,尝"
"嘩,譁,哗"
"嘮,唠"
"嘯,啸"
"嘰,叽"
"嘴,咀,觜"
"嘻,譆"
"噓,嘘"
"噠,哒"
"噥,哝"
"噪,譟"
"噯,嗳"
"噴,喷"
"噸,吨"
"嚀,咛"
"嚇,唬,吓"
"嚎,嗥"
"嚕,噜"
"嚨,咙"
"嚴,严,厳"
"嚶,嘤"
"囀,啭"
"囁,嗫"
"囂,嚣"
"囈,呓"
"囉,啰"
"囊,嚢"
"囑,嘱"
"回,迴,廻"
"囪,囱"
"困,睏"
"圇,囵"
"圈,圏"
"國,国,圀"
"圍,围,囲,囗"
"園,园"
"圖,图,図"
"團,糰,团,団"
"圭,珪"
"圳,畎,甽"
"坏,壞,壊"
"坑,阬"
"坤,堃"
"垠,圻"
"埒,埓"
"埡,垭"
"執,执"
"基,拯"
"堅,坚"
"堊,垩"
"堝,埚"
"堤,隄,䧑"
"堯,尧,尭"
"報,报"
"場,场"
"塊,块"
"塋,茔"
"塗,涂,凃"
"塚,冢"
"塢,鄔,坞,邬"
"填,塡"
"塵,尘"
"塹,堑"
"墊,垫"
"墜,坠"
"增,増"
"墮,堕"
"墳,坟"
"墾,垦"
"壇,罈,坛,壜,罎"
"壎,塤,埙"
"壓,压,圧"
"壘,垒,塁"
"壟,垄,垅"
"壢,坜"
"壤,壌"
"壩,坝"
"壯,壮"
"壺,壶,壷"
"壽,寿"
"多,夛"
"夠,够,彀"
"夢,梦"
"夥,伙"
"夾,袷,夹"
"奈,柰"
"奐,奂"
"奔,犇"
"奕,弈"
"奧,奥"
"奩,奁"
"奪,夺"
"奮,奋"
"奸,姦"
"奼,姹"
"妊,姙"
"妍,姸"
"妒,妬"
"妝,粧,妆"
"姆,姥,佬"
"姊,姉"
"姍,姗"
"姜,薑"
"姪,侄"
"姬,姫"
"娘,孃,嬢"
"娛,娱,娯"
"婀,妸"
"婁,娄"
"婦,妇"
"婭,娅"
"婿,壻,聟"
"媧,娲"
"媼,媪"
"媽,妈"
"嫗,妪"
"嫵,妩"
"嫻,嫺,娴"
"嬈,娆"
"嬋,婵"
"嬌,娇"
"嬝,裊,嫋,袅"
"嬡,嫒"
"嬪,嫔"
"嬰,婴"
"嬸,婶"
"孌,娈"
"孫,孙"
"孰,塾"
"學,学"
"孽,孼"
"孿,孪"
"宮,宫"
"宴,讌"
"家,傢"
"富,冨"
"寢,寝"
"實,寔,实,実"
"寧,甯,宁,寗"
"寨,砦"
"審,审"
"寫,写"
"寬,宽,寛"
"寵,宠"
"寶,宝,寳"
"寸,吋"
"將,将"
"專,耑,专,専"
"尉,熨"
"尋,寻"
"對,对,対"
"導,导"
"尚,尙"
"尷,尴"
"尿,溺,脲"
"局,侷"
"屆,届"
"屍,尸"
"屏,摒,屛"
"屜,屉"
"屢,屡"
"層,层"
"屬,属"
"屭,屓"
"岐,歧"
"岡,崗,岗,冈"
"岩,巖,巌"
"岫,峀"
"岳,嶽"
"峰,峯"
"峴,岘"
"島,嶋,岛,嶌"
"峽,峡"
"崍,崃"
"崎,埼,碕,嵜"
"崖,厓"
"崙,侖,仑"
"崢,峥"
"嵐,岚"
"嵩,崧"
"嶄,崭"
"嶇,岖"
"嶔,崟"
"嶸,嵘"
"嶺,岭,岺"
"嶼,屿"
"巒,峦"
"巔,巅"
"巢,巣"
"巨,鉅"
"布,佈"
"帆,拚"
"帚,箒"
"帥,帅"
"師,师"
"席,蓆"
"帳,賬,帐,账"
"帶,带,帯"
"幀,帧"
"幃,帏"
"幗,帼"
"幟,帜"
"幡,旛"
"幢,橦"
"幣,币"
"幫,帮,幇"
"干,乾,幹,榦"
"年,秊"
"并,併,並,竝,幷,倂"
"幸,倖"
"幽,凼"
"床,牀"
"度,廓"
"座,坐"
"庫,库"
"庵,菴"
"廁,厕,厠"
"廂,厢"
"廄,厩,廐,廏"
"廈,厦"
"廚,厨"
"廝,厮"
"廟,庙"
"廠,厂"
"廢,废,廃"
"廣,广,広"
"廬,庐"
"廳,厅,庁"
"廾,丱"
"弄,挵,衖"
"弒,弑"
"弦,絃"
"張,张"
"強,彊,强"
"彈,弹,弾"
"彌,瀰,弥"
"彎,弯"
"彝,彛"
"彥,彦"
"彩,綵"
"彬,斌"
"彷,倣,仿,徬"
"征,徵,徴"
"從,从,従"
"徠,倈,徕"
"御,馭,禦,驭"
"德,悳,徳"
"徹,彻"
"志,誌"
"念,唸"
"恒,恆"
"恤,卹"
"恥,耻"
"恩,摁"
"恿,慂"
"悅,悦"
"悛,恂"
"悴,忰"
"悵,怅"
"悶,闷"
"悽,淒,凄"
"惠,恵"
"惡,恶,悪,噁"
"惱,恼,悩"
"惲,恽"
"惻,恻"
"愈,癒,瘉"
"愛,爱"
"愜,惬"
"愴,怆"
"愷,恺"
"愾,忾"
"愿,願"
"態,态"
"慍,愠"
"慎,愼"
"慘,惨"
"慚,慙,惭"
"慟,恸"
"慣,惯"
"慫,怂"
